,store,address,phone
0,백령도 2호점,인천광역시 옹진군 백령면 백령로 846-28,0507-1375-0341
1,강릉안목점,강원도 강릉시 견소동 3-1,033-651-1100
2,전남도청점,전라남도 무안군 삼향읍 대죽동로 16번길 31,061-281-0709
3,세종리더스포레점,"세종특별자치시 어울누리로 67, 1층",044-863-9077
4,강화외포리점,"인천광역시 강화군 내가면 해안서로 1018, 2층",032-932-6808
5,포항역점,경상북도 포항시 북구 흥해읍 이인리 90-2,
6, 포항경주공항점,"경상북도 포항시 남구 동해면 일월로 18, 포항경주공항 여객청사 1층",
7,신경주역점,경상북도 경주시 건천읍 신경주역로80 1층,
8,동대구역사점,대구광역시 동구 동대구로 550 3층 맞이방,010- 3344- 9455
9,주문진점,강원도 강릉시 주문진읍 해안로 1935,033-661-9878
10,언주아크로힐스점 [딜리버리전문 매장],서울특별시 강남구 언주로 604 지하1층 112호,02-517-5579
11,계룡시청점,"충청남도 계룡시 금암동 154-1 (1,2층)",042-551-6232
12,카페베네 을지로PJ호텔점,서울특별시 중구 인현동1가 2-35 PJ호텔 1층,
13,수원연화장(광교1호)점,"경기도 수원시 영통구 광교호수로 278, 1-2층 (하동, 수원시 연화장 장례식장)",031-212-3363
14,의정부역점,"경기도 의정부시 평화로 567번길 15, 1층 101호 (의정부동, 이안더메트로)",070-7840-0303
15,춘천소양동점,"강원도 춘천시 금강로 1,1층",033-242-4847
16,논현역점,"서울특별시 강남구 강남대로 556 논현빌딩, 1층",025465999
17,세종문화회관 예술동점,서울특별시 종로구 세종대로 175 세종문화회관 예술동 (세종문화회관 뒤쪽 작은 광장 & 중앙계단 위치),02-399-1560
18,세종문화회관 대극장점,서울특별시 종로구 세종대로 175 세종문화회관 대극장 로비,02-399-1560
19,전주팔복점,전라북도 전주시 덕진구 팔복1길 21,063-717-0872
20,수진역점,"경기도 성남시 중원구 산성대로 208, 1층 115호 (성남동, 신한타워)",031-759-7733
21,소래포구점,"인천광역시 남동구 소래역로 22, 1층",032-421-7666
22,의정부민락점,경기도 의정부시 오목로 225번길 6-18 1층,031-879-6565
23,경북예천점,경상북도 예천군 예천읍 충효로 284,054-654-0088
24,대전태평점,대전광역시 중구 계백로 1565번길 20,042-536-8100
25,안양엔터식스점,경기도 안양시 만안로 232 엔터식스 3층,
26,제주 유탑유블레스호텔점,제주특별자치도 제주시 조천읍 조함해안로 502 1층 ,
27,성수동 카페베네,"서울특별시 성동구 상원1길 25 1층 102, 103호",1644-4666
28,양산터미널점,경상남도 양산시 양산역1길 7 양산시외버스터미널 107B호,055-384-3888
29,75사단철마부대회관점,경기도 남양주시 진접읍 팔야리 760-6,
30,DDP점 (휴점),서울시 중구 을지로 281 디자인 장터 B2,02-2153-0788
31,강동드림산부인과점,서울 강동구 상일로12길 97,
32,강원화천점,강원도 화천군 화천읍 중앙로 9 ,033-442-7773
33,거여역점,서울특별시 송파구 오금로 513 101 (거여동 위례빌딩),02-449-6232
34,거제수양점,경상남도 거제시 수양로 498(양정동  1층 / 937-6번지),055-632-1717
35,거제옥포점,경상남도 거제시 옥포로 206 (옥포동  1층),055-687-6232
36,거제축협점,경상남도 거제시 거제중앙로 1726 1층(거제축산농협),055-633-7509
37,건대2호점,서울특별시 광진구 아차산로 207(화양동 1층),02-462-6282
38,경남거창점,경상남도 거창군 거창읍 공수들4길 41,055-945-7080
39,경북군위점,경상북도 군위군 군위읍 군청로 87-37 ,054-383-3358
40,경산성암점,경상북도 경산시 삼성현로 168 (사정동),053-811-2552
41,경주노동아카데미점,경상북도 경주시 노동동 73-2  1층,054-745-1915
42,경주동국대점,경상북도 경주시 한빛길 6번길 43,054-746-0073
43,경주월드공원점,경상북도 경주시 보문로 544,
44,경주주상절리점,경상북도 경주시 양남면 동해안로 486,054-743-3780
